Song_Id,track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,release_date,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,log_streams,trending,trend_score
4281,Dance The Night (From Barbie The Album),Dua Lipa,1,2988,101,127408954.0,0,0,143,38,0.0,110,B,Minor,2023-05-25,74.0,79.0,66.0,11.0,0.0,8.0,16.0,18.662912589055942,False,0.18
4281,Dance The Night (From Barbie The Album),Dua Lipa,1,2988,101,127408954.0,0,0,143,38,0.0,110,B,Minor,2023-05-25,67.0,78.0,64.24366041896361,2.0,0.0,33.0,5.0,18.662912589055942,False,0.18
4536,Rush,Troye Sivan,1,864,78,22581161.0,71,135,50,1,294.0,126,F,Minor,2023-07-13,74.0,35.0,84.0,0.0,0.0,11.0,6.0,16.93262657683202,False,0.06
4820,fukumean,Gunna,1,1096,83,95217315.0,60,210,48,11,953.0,130,C#,Minor,2023-05-15,85.0,22.0,62.0,12.0,0.0,28.0,9.0,18.371672373977777,False,0.04
4896,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2953,44,553634067.0,49,110,66,13,339.0,170,D,Minor,2023-03-17,81.0,56.0,48.0,21.0,0.0,8.0,33.0,20.132014499391627,False,0.02
3799,un x100to,"Bad Bunny, Grupo Frontera",2,2876,40,505671438.0,41,205,54,12,251.0,83,F#,Minor,2023-04-17,57.0,56.0,72.0,23.0,0.0,27.0,5.0,20.041397686306162,False,0.02
2057,Super Shy,NewJeans,1,422,55,58255150.0,37,202,21,5,168.0,150,F,Minor,2023-07-07,80.0,82.0,81.0,14.0,0.0,13.0,36.0,17.880343075685005,False,0.01
2057,Super Shy,NewJeans,1,422,55,58255150.0,37,202,21,5,168.0,150,F,Minor,2023-07-07,78.0,52.0,82.0,18.0,0.0,15.0,7.0,17.880343075685005,False,0.01
3510,Flowers,Miley Cyrus,1,12211,115,1316855716.0,300,215,745,58,1021.0,118,Unknown,Major,2023-01-12,71.0,65.0,68.0,6.0,0.0,3.0,7.0,20.998512699415993,True,0.96
4275,Daylight,David Kushner,1,3528,98,387570742.0,80,156,182,24,1281.0,130,D,Minor,2023-04-14,51.0,32.0,43.0,83.0,0.0,9.0,3.0,19.7754089526758,False,0.12
4635,As It Was,Harry Styles,1,23575,130,2513188493.0,403,198,863,46,0.0,174,F#,Minor,2022-03-31,52.0,66.0,73.0,34.0,0.0,31.0,6.0,21.644818100255623,True,0.98
3078,Kill Bill,SZA,1,8109,77,1163093654.0,183,162,161,12,187.0,89,G#,Major,2022-12-08,64.0,43.0,73.0,26.994487320837926,17.0,16.0,10.101545253863135,20.874349236045482,True,0.77
3743,TULUM,"Peso Pluma, Grupo Frontera",2,266,34,52294266.0,20,185,13,8,197.0,168,F#,Major,2023-06-28,56.0,63.0,87.0,39.0,0.0,11.0,5.0,17.77239730543588,False,0.01
2098,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,6036,88,843957510.0,113,149,245,23,27.0,98,C#,Minor,2022-12-02,71.0,17.0,61.0,36.0,0.0,8.0,5.0,20.55361270887595,True,0.48
4039,Anti-Hero,Taylor Swift,1,9082,56,999748277.0,242,142,165,9,310.0,97,E,Major,2022-10-21,64.0,51.0,63.0,12.0,0.0,19.0,5.0,20.723014083259113,True,0.74
3813,TQG,"Karol G, Shakira",2,4284,49,618990393.0,115,123,184,18,354.0,180,E,Minor,2023-02-23,72.0,61.0,63.0,67.0,0.0,9.0,28.0,20.243600311950104,False,0.14
2331,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,1150,31,123122413.0,22,33,34,7,184.0,120,Unknown,Major,2023-06-01,81.0,63.0,68.0,11.0,0.0,11.0,4.0,18.628689654190275,False,0.01
4748,Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,672,34,188933502.0,19,108,24,9,212.0,150,F#,Major,2023-04-07,61.0,39.0,64.24366041896361,37.0,0.0,11.0,3.0,19.05690567513628,False,0.02
3172,Blank Space,Taylor Swift,1,11434,53,1355959075.0,154,123,410,2,81.0,96,F,Major,2014-01-01,75.0,51.439293598233995,64.24366041896361,9.0,0.0,13.0,6.0,21.027774846068187,True,0.83
3831,Style,Taylor Swift,1,7830,42,786181836.0,94,111,151,4,82.0,95,D,Major,2014-01-01,60.0,48.0,79.0,0.0,0.0,12.0,4.0,20.48269866842112,False,0.51
